Year-Quarter,202312,202311,202310,202309,202308,202307,202306,202305,202304,202303,202302,202301,202212,202211,202210,202209,202208,202207,202206,202205,202204,202203,202202,202201,202112,202111,202110,202109,202108,202107,202106,202105,202104,202103,202102,202101,202012,202011,202010,202009,202008,202007,202006,202005,202004,202003,202002,202001,201912,201911,201910,201909,201908,201907,201906,201905,201904,201903,201902,201901,201812,201811,201810,201809,201808,201807,201806,201805,201804,201803,201802,201801,201712,201711,201710,201709,201708,201707,201706,201705,201704,201703,201702,201701,201612,201611,201610,201609,201608,201607,201606,201605,201604,201603,201602,201601,201512,201511,201510,201509,201508,201507,201506,201505,201504,201503,201502,201501,201412,201411,201410,201409,201408,201407,201406,201405,201404,201403,201402,201401,201312,201311,201310,201309,201308,201307,201306,201305,201304,201303,201302,201301,201212,201211,201210,201209,201208,201207,201206,201205,201204,201203,201202,201201,201112,201111,201110,201109,201108,201107,201106,201105,201104,201103,201102,201101,201012,201011,201010,201009,201008,201007,201006,201005,201004,201003,201002,201001,200912,200911,200910,200909,200908,200907,200906,200905,200904,200903,200902,200901,200812,200811,200810,200809,200808,200807,200806,200805,200804,200803,200802,200801,200712,200711,200710,200709,200708,200707,200706,200705,200704,200703,200702,200701,200612,200611,200610,200609,200608,200607,200606,200605,200604,200603,200602,200601,200512,200511,200510,200509,200508,200507,200506,200505,200504,200503,200502,200501,200412,200411,200410,200409,200408,200407,200406,200405,200404,200403,200402,200401,200312,200311,200310,200309,200308,200307,200306,200305,200304,200303,200302,200301,200212,200211,200210,200209,200208,200207,200206,200205,200204,200203,200202,200201,200112,200111,200110,200109,200108,200107,200106,200105,200104,200103,200102,200101,200012,200011,200010,200009,200008,200007,200006,200005,200004,200003,200002,200001,199912,199911,199910,199909,199908,199907,199906,199905,199904,199903,199902,199901
1999Q1,2453,2492,2528,2552,2591,2624,2661,2704,2742,2785,2821,2855,2902,2943,2989,3018,3083,3124,3171,3226,3282,3325,3371,3417,3481,3538,3589,3649,3708,3780,3900,3971,4063,4134,4186,4240,4315,4418,4487,4574,4636,4725,4764,4801,4848,4924,4979,5032,5078,5167,5222,5297,5364,5422,5474,5569,5671,5841,5983,6093,6211,6349,6429,6532,6677,6770,6861,6967,7061,7200,7291,7379,7504,7604,7687,7783,7890,7981,8069,8178,8268,8401,8489,8591,8727,8848,8935,9061,9175,9262,9392,9510,9618,9740,9851,9957,10097,10217,10366,10505,10647,10790,10938,11089,11230,11384,11527,11666,11809,11967,12126,12285,12434,12597,12743,12967,13864,15412,17092,18462,19264,19854,20455,21007,21604,22218,22804,23469,24106,24755,25312,25888,26463,26996,27612,28105,28720,29259,29834,30430,31040,31676,32271,32854,33475,34045,34579,35117,35713,36237,36780,37325,37952,38661,39272,39900,40628,41261,41991,42645,43280,43863,44497,45097,45756,46434,46959,47501,48205,48850,49493,50115,50891,51801,52739,53704,54850,56368,57359,58185,59010,59149,59843,60480,61131,61887,62689,63537,64589,65574,66353,67004,67729,68381,69113,69737,70553,71387,72297,73283,74193,75102,75938,76817,77789,78698,79683,80584,81748,82707,83870,85089,86239,87592,88689,89784,91120,92714,94450,96349,98621,100572,102599,104321,106350,108910,110783,112698,115314,117603,120023,122584,125315,128243,132114,136679,142673,148169,152230,155436,159928,164459,171222,181034,196247,213893,227303,241801,258245,272133,284516,297032,308665,322106,336142,345710,353311,359383,363953,368963,373778,379202,383859,389824,397822,404312,409402,412909,417422,421815,424325,428548,431711,435332,436931,438449,438847,436442,438659,440619,427398,429240,431687,433783,425808,427392,428345,429156,430464,431373,432231,433041,433908,434002,434366,428251,344851,173859,51010,5
1999Q2,1734,1751,1781,1804,1826,1852,1878,1897,1917,1940,1955,1979,2006,2027,2054,2090,2124,2143,2171,2197,2235,2272,2318,2347,2380,2413,2465,2497,2532,2572,2656,2709,2783,2822,2852,2889,2937,3001,3030,3099,3140,3201,3236,3265,3284,3331,3360,3401,3443,3496,3547,3609,3672,3736,3819,3928,4027,4109,4153,4213,4279,4382,4439,4482,4563,4621,4672,4727,4788,4868,4911,4985,5073,5115,5191,5252,5317,5361,5426,5492,5553,5628,5694,5769,5836,5900,5988,6063,6156,6230,6315,6397,6470,6542,6613,6687,6757,6828,6907,6999,7096,7194,7278,7380,7473,7556,7626,7708,7802,7891,7988,8097,8232,8677,9488,10609,11436,11965,12323,12708,13065,13364,13663,13947,14296,14656,14958,15303,15680,15995,16335,16691,17007,17312,17641,17968,18289,18625,18968,19330,19677,20021,20340,20647,20978,21303,21631,21917,22249,22534,22877,23215,23575,23976,24340,24666,25095,25494,25881,26263,26606,26950,27297,27650,28038,28393,28702,29008,29387,29749,30137,30525,30968,31537,32314,33017,33697,34421,34858,35205,35592,35658,36039,36418,36790,37267,37760,38242,38809,39354,39775,40122,40531,40917,41388,41767,42276,42804,43389,44014,44575,45112,45564,46073,46647,47244,47879,48513,49163,49784,50528,51299,52003,52830,53517,54193,55116,56204,57280,58462,59873,61118,62506,63602,64966,66627,67854,69039,70708,72162,73790,75496,77412,79456,82251,85259,88875,92331,94810,96928,99997,103172,107518,114216,123899,134772,143902,154007,165205,175431,184150,193468,201242,211399,222441,230406,236829,241583,245220,248910,252636,257037,261154,266461,273865,279684,284170,286957,290636,294141,294194,297440,299742,302283,303265,304276,304401,302283,303562,304582,302132,302900,304303,305527,300279,301011,301254,301569,301766,301941,301514,300557,298204,270607,197678,85868,1,0,0,0
1999Q3,951,964,977,989,1000,1008,1021,1038,1047,1061,1068,1079,1083,1093,1108,1123,1136,1159,1169,1189,1206,1218,1234,1248,1271,1294,1314,1334,1353,1374,1423,1455,1505,1525,1537,1550,1560,1588,1603,1639,1661,1706,1726,1736,1744,1763,1782,1803,1818,1860,1894,1937,2001,2035,2059,2098,2124,2167,2184,2209,2235,2287,2309,2335,2373,2397,2416,2445,2471,2503,2530,2557,2590,2620,2653,2689,2732,2761,2790,2825,2851,2895,2925,2963,3004,3038,3067,3108,3153,3187,3218,3257,3290,3320,3364,3393,3424,3454,3508,3553,3590,3616,3660,3702,3744,3780,3818,3860,3905,3964,4104,4406,4850,5156,5331,5485,5617,5736,5858,5953,6076,6183,6318,6436,6548,6679,6781,6923,7037,7187,7301,7425,7526,7643,7793,7912,8039,8157,8263,8393,8495,8605,8706,8805,8946,9073,9186,9298,9440,9551,9662,9769,9904,10029,10144,10264,10396,10514,10661,10780,10911,11036,11162,11277,11390,11521,11620,11745,11862,12002,12181,12383,12630,12897,13129,13314,13508,13722,13861,13982,14148,14150,14340,14490,14632,14801,14992,15160,15386,15606,15784,15954,16144,16286,16470,16626,16848,17106,17338,17610,17833,18092,18311,18510,18736,18994,19301,19582,19897,20178,20528,20849,21159,21520,21831,22152,22573,23033,23512,24039,24704,25320,25961,26440,27060,27802,28346,28904,29685,30427,31223,32057,32921,33935,35227,36495,38064,39650,40873,41987,43470,45107,47506,50855,55192,59950,64173,69057,74432,79797,84732,90178,94646,101004,108569,114722,119771,123936,126794,129925,133219,137502,141955,148084,158133,166036,172010,175569,179511,183081,185517,190105,194205,198046,200407,201624,202030,200827,201607,201729,201160,201370,201968,202680,202263,202395,202475,201875,200441,200019,195628,137454,66501,0,0,0,0,0,0,0
1999Q4,745,759,773,782,794,802,810,824,828,840,846,852,859,862,873,886,893,900,914,927,944,957,969,980,998,1006,1018,1029,1040,1057,1097,1119,1159,1174,1184,1201,1215,1255,1261,1287,1297,1321,1336,1345,1350,1368,1381,1402,1429,1473,1496,1523,1547,1564,1583,1609,1625,1642,1649,1663,1677,1709,1724,1736,1766,1791,1813,1846,1870,1916,1932,1951,1977,1999,2021,2037,2070,2087,2112,2136,2161,2185,2213,2235,2258,2275,2296,2319,2340,2358,2385,2417,2440,2473,2491,2507,2535,2559,2582,2611,2644,2681,2705,2741,2768,2802,2833,2926,3125,3322,3503,3614,3699,3787,3847,3925,4004,4078,4143,4210,4283,4349,4418,4485,4569,4658,4719,4783,4858,4936,4999,5062,5135,5206,5280,5348,5411,5471,5534,5597,5671,5732,5800,5872,5960,6043,6126,6191,6270,6332,6400,6469,6540,6629,6699,6768,6870,6928,7019,7111,7205,7281,7360,7442,7535,7616,7708,7800,7938,8054,8191,8311,8421,8554,8684,8791,8900,9043,9121,9195,9344,9181,9290,9400,9494,9607,9708,9819,9975,10131,10250,10348,10457,10569,10715,10834,10972,11122,11280,11439,11592,11753,11896,12057,12239,12409,12582,12786,13016,13203,13408,13645,13858,14120,14342,14604,14915,15248,15594,15927,16377,16742,17235,17605,18006,18500,18854,19232,19794,20294,20799,21421,22070,22764,23645,24475,25549,26642,27496,28315,29534,30817,32374,34632,37373,40419,43142,46536,50334,54078,57499,61415,65407,70132,75604,80145,84050,87323,89550,92232,95250,99059,102977,108465,117096,124466,129992,133005,136239,139457,142366,146856,150867,154752,157283,158483,159025,158242,158590,158263,157890,157638,157888,158197,157573,157439,156988,152642,77787,42654,1,0,0,0,0,0,0,0,0,0
2000Q1,400,406,411,413,418,422,429,437,441,449,452,458,461,466,470,479,484,490,500,506,515,521,527,529,538,543,553,562,565,571,597,605,625,632,637,644,654,666,672,685,691,716,725,733,740,756,770,790,805,818,828,842,855,863,872,888,895,902,921,928,939,961,969,974,987,1005,1023,1034,1044,1060,1074,1085,1102,1111,1121,1131,1143,1149,1165,1181,1192,1203,1214,1222,1234,1251,1265,1278,1286,1299,1314,1324,1337,1347,1361,1378,1385,1398,1409,1435,1449,1466,1483,1501,1564,1695,1812,1897,1956,1988,2041,2080,2118,2147,2180,2201,2227,2270,2303,2326,2361,2392,2426,2472,2520,2574,2606,2664,2705,2744,2797,2837,2873,2908,2956,2984,3020,3064,3096,3134,3178,3222,3249,3288,3341,3371,3401,3432,3469,3503,3536,3571,3613,3648,3682,3728,3769,3813,3862,3910,3948,3977,4033,4065,4125,4222,4291,4349,4405,4454,4515,4564,4622,4681,4739,4809,4874,4959,5001,5048,5165,5079,5134,5179,5234,5303,5373,5454,5543,5613,5698,5762,5842,5901,5986,6044,6130,6239,6309,6402,6507,6594,6667,6753,6846,6936,7049,7149,7274,7385,7516,7653,7794,7946,8066,8208,8398,8596,8804,9013,9245,9474,9750,10004,10260,10554,10836,11049,11359,11690,12005,12336,12720,13158,13679,14078,14702,15361,15897,16358,16990,17729,18617,19806,21255,22872,24370,26169,28334,30403,32312,34374,36290,38824,41867,44343,46550,48380,49939,51748,53853,56492,59336,63251,69054,74183,78229,80763,83748,86855,89705,94299,98715,102750,105903,107117,107237,106288,106467,105655,105106,104556,104323,103533,98748,58726,27216,0,0,0,0,0,0,0,0,0,0,0,0,0
2000Q2,498,504,510,513,517,523,529,537,542,552,556,564,570,575,581,594,599,606,613,624,631,643,653,660,666,669,679,689,703,714,750,766,798,810,815,821,830,852,864,884,888,914,929,946,959,979,994,1010,1016,1043,1053,1066,1083,1098,1108,1130,1143,1160,1166,1179,1195,1219,1232,1247,1263,1271,1286,1296,1310,1333,1343,1351,1376,1387,1404,1408,1430,1440,1464,1479,1501,1516,1525,1547,1568,1592,1608,1620,1644,1664,1688,1707,1732,1750,1768,1781,1796,1811,1838,1857,1888,1950,2062,2178,2280,2340,2384,2428,2488,2529,2568,2610,2644,2692,2724,2754,2804,2839,2890,2938,2982,3021,3054,3111,3164,3224,3270,3337,3404,3457,3493,3538,3590,3644,3690,3734,3782,3824,3859,3896,3944,3982,4033,4067,4120,4164,4208,4250,4309,4359,4413,4457,4503,4552,4606,4643,4711,4744,4788,4844,4905,4982,5070,5136,5219,5296,5350,5408,5478,5545,5612,5671,5736,5810,5880,5968,6055,6150,6181,6235,6362,6294,6359,6438,6501,6576,6656,6742,6849,6946,7023,7106,7183,7268,7364,7452,7551,7659,7777,7898,8022,8138,8242,8369,8509,8626,8755,8886,9046,9199,9386,9585,9768,9964,10115,10284,10486,10716,10960,11252,11602,11942,12294,12590,12947,13359,13648,13929,14339,14701,15148,15625,16129,16690,17383,18058,18870,19698,20414,21053,21909,22844,24117,25686,27722,29886,31971,34476,37295,40039,42688,45576,48263,51927,56288,60067,63443,66322,68736,71544,74863,79214,83777,89955,99375,107779,114802,119037,124516,130402,136035,144129,152060,159072,165719,168172,168118,166566,166756,166151,165189,139125,87710,43589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000Q3,608,620,629,635,645,653,659,667,671,679,682,688,698,704,710,721,726,731,741,752,768,783,787,796,820,831,853,870,877,895,932,952,990,1000,1011,1017,1028,1061,1082,1107,1132,1162,1183,1192,1207,1224,1240,1260,1277,1307,1323,1347,1367,1381,1396,1434,1442,1470,1487,1500,1516,1549,1559,1569,1591,1601,1619,1630,1644,1675,1689,1702,1731,1751,1775,1797,1817,1835,1846,1867,1882,1908,1922,1941,1965,1984,2005,2028,2061,2076,2104,2132,2157,2186,2212,2227,2254,2287,2354,2475,2585,2694,2778,2836,2896,2954,2991,3039,3091,3127,3180,3211,3264,3311,3345,3392,3429,3469,3514,3566,3618,3673,3715,3770,3822,3894,3942,3993,4073,4134,4187,4251,4302,4355,4412,4460,4511,4573,4617,4660,4715,4765,4810,4861,4923,4981,5013,5059,5121,5180,5237,5281,5321,5377,5437,5489,5555,5612,5682,5767,5867,5953,6027,6096,6177,6254,6310,6379,6447,6506,6568,6636,6710,6797,6898,6975,7054,7147,7206,7258,7342,7366,7457,7545,7641,7749,7875,7975,8103,8241,8323,8413,8489,8612,8728,8849,8983,9119,9252,9382,9516,9648,9789,9922,10069,10241,10403,10578,10779,10941,11127,11321,11498,11761,11949,12165,12441,12726,13057,13376,13804,14187,14585,14999,15419,15903,16292,16634,17130,17634,18159,18726,19415,20139,20977,21769,22779,23899,24759,25540,26652,27864,29611,31864,34642,37691,40556,43952,47743,51453,54981,58939,63070,68116,74277,79488,84201,88045,91021,94401,98506,103808,109448,117036,128525,138423,147314,152559,158148,163479,168037,175261,182334,188783,194467,196777,195907,194481,187362,113121,58946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000Q4,826,836,849,853,875,889,896,903,909,916,923,933,941,946,957,968,984,998,1006,1021,1038,1052,1061,1074,1094,1102,1128,1138,1151,1169,1206,1239,1292,1309,1330,1355,1376,1424,1452,1487,1507,1547,1559,1579,1598,1625,1637,1657,1681,1777,1794,1825,1857,1880,1898,1930,1949,1996,2017,2038,2058,2094,2112,2125,2149,2172,2203,2225,2245,2298,2322,2346,2370,2391,2414,2438,2464,2497,2519,2543,2569,2609,2626,2661,2685,2707,2725,2751,2776,2800,2829,2870,2897,2921,2967,3067,3216,3391,3525,3631,3706,3767,3842,3920,3988,4062,4128,4197,4273,4324,4389,4440,4510,4565,4635,4692,4755,4816,4883,4955,5032,5089,5160,5245,5323,5421,5505,5601,5685,5778,5853,5922,6001,6092,6182,6254,6330,6395,6466,6566,6638,6718,6802,6873,6948,7016,7077,7151,7234,7321,7391,7490,7578,7693,7773,7882,7997,8121,8238,8347,8437,8541,8630,8701,8790,8910,8972,9049,9154,9237,9331,9450,9565,9687,9830,9977,10120,10244,10362,10435,10537,10619,10729,10832,10935,11081,11201,11324,11491,11634,11745,11882,12021,12165,12346,12469,12655,12825,13031,13231,13438,13661,13851,14007,14192,14416,14640,14864,15110,15333,15637,15934,16235,16583,16861,17156,17545,17950,18407,18929,19542,20039,20642,21184,21765,22496,23033,23573,24334,25028,25794,26651,27405,28385,29719,30971,32512,34244,35571,36775,38521,40296,42756,46188,50499,55154,59569,64775,70935,76889,82704,88975,96104,104252,113712,121428,128076,133031,136710,140653,145065,151093,157161,164991,177879,188552,196742,200649,204220,207637,209142,213675,218014,220641,221920,217025,118869,64365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001Q1,1675,1695,1713,1731,1752,1771,1788,1820,1840,1860,1876,1889,1913,1931,1958,1983,2011,2041,2075,2110,2140,2176,2200,2221,2266,2297,2329,2363,2400,2448,2525,2589,2681,2765,2837,2898,2963,3050,3095,3164,3208,3288,3328,3364,3392,3454,3486,3528,3569,3654,3698,3756,3803,3842,3890,3975,4008,4087,4121,4155,4192,4275,4315,4358,4427,4465,4510,4567,4607,4696,4743,4804,4898,4950,5014,5064,5119,5177,5228,5298,5353,5437,5496,5543,5623,5690,5755,5836,5932,6014,6089,6182,6596,7288,7985,8399,8718,8961,9196,9424,9622,9835,10055,10254,10482,10722,10906,11106,11309,11480,11706,11900,12102,12317,12560,12790,13031,13266,13496,13731,13949,14173,14452,14703,14982,15245,15525,15826,16145,16480,16787,17103,17385,17645,17968,18270,18575,18876,19181,19487,19779,20058,20336,20653,20939,21265,21520,21776,22078,22331,22632,22946,23311,23847,24276,24739,25160,25580,25967,26348,26744,27060,27432,27764,28130,28545,28851,29172,29539,29919,30271,30677,31116,31652,32299,32889,33494,34234,34781,35158,35464,35697,36050,36356,36713,37156,37584,37802,38459,39080,39600,39978,40417,40822,41251,41654,42167,42718,43306,43929,44535,45111,45602,46110,46712,47276,47924,48556,49248,49885,50642,51474,52210,53178,53972,54713,55665,56893,58219,59633,61337,62841,64596,66074,67841,69853,71162,72514,74488,76486,78374,80388,82563,84865,87968,91854,96918,101799,105458,108239,112258,116398,122111,130722,144345,161501,175178,190092,208788,224321,238387,252703,268022,285452,304974,318632,327756,334921,339439,343951,348079,352867,356802,361421,370449,378609,384589,386142,386790,385734,379472,375345,345310,159213,69077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001Q2,2668,2697,2732,2754,2790,2815,2838,2867,2900,2932,2956,2975,3001,3024,3064,3106,3154,3184,3220,3268,3328,3380,3415,3464,3534,3600,3651,3708,3771,3865,4010,4157,4354,4476,4536,4603,4686,4838,4907,5011,5087,5215,5277,5331,5388,5471,5527,5596,5656,5786,5843,5913,6010,6068,6136,6275,6338,6458,6515,6575,6639,6757,6825,6891,6995,7081,7188,7267,7343,7490,7568,7650,7762,7867,7948,8046,8139,8230,8316,8416,8504,8609,8712,8829,8957,9052,9151,9253,9431,9922,11007,12346,13319,13977,14455,14853,15266,15622,16001,16405,16753,17130,17533,17924,18301,18701,19029,19397,19775,20109,20513,20933,21308,21728,22103,22524,22942,23357,23727,24134,24586,24999,25475,25923,26475,27075,27566,28170,28766,29363,29892,30429,30943,31417,31970,32416,32936,33427,33961,34532,35081,35598,36087,36530,37098,37632,38116,38576,39139,39710,40365,41087,41784,42423,43014,43647,44398,45137,45787,46454,47120,47730,48406,49039,49724,50437,50996,51563,52267,52978,53638,54288,55095,56126,57283,58361,59399,60609,61500,62128,62597,63009,63612,64187,64751,65466,66291,67075,68152,69171,69961,70603,71346,71985,72703,73341,74190,75015,76009,77104,78117,79016,79931,80862,81794,82785,83877,84907,86115,87282,88620,90044,91275,92735,93976,95194,96817,98756,100872,103246,106189,108852,111629,114109,116883,120009,122294,124529,127970,131267,134507,137847,141581,145561,150979,157681,166112,174336,180198,184991,191723,198813,209022,224798,248714,277985,301885,327772,359033,384419,407313,430705,458787,486868,517065,537661,553262,563112,569123,574316,578591,583372,587125,591537,599947,606389,608844,607023,597079,566983,335342,166240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
